,Stock_Returns,Bond_Returns,Commodity_Returns
1981-01-02,0.004272258798784011,0.0012449416989156186,0.002622400545459369
1981-01-05,0.011955441738261907,0.01641137732362957,0.014123924358538488
1981-01-06,0.001087148620405154,0.002616653494855548,0.00649936811698848
1981-01-07,-0.02200979867942754,-0.014916579072738419,-0.009276105060858408
1981-01-08,-0.014954132699726896,0.002035488322161637,-0.015337661329953732
1981-01-09,0.003156457061863182,-0.01199175953403923,-0.006882059364328841
1981-01-12,0.00029973438869101976,0.007791143749790198,-0.0036367964451967656
1981-01-13,-0.001722670603415799,-0.004149781440688915,0.003371338315127259
1981-01-14,0.0013504984892893646,0.0003432876712328767,0.004722534559163939
1981-01-15,0.005619240227321409,-0.004690755260470632,-0.011941752685906805
1981-01-16,0.004097772662462029,0.005397990422144781,-0.00575654607235665
1981-01-19,-0.002968087427412613,-0.005117931310487699,-0.007813651776500175
1981-01-20,-0.020242623498876733,0.008214805737617006,0.004538700526813377
1981-01-21,-0.0022027595866114247,-0.014669364619134163,-0.006373880536804433
1981-01-22,-0.008373980651679047,-0.0051879495907812,-0.01017701510312341
1981-01-23,-0.0002302992519725988,0.0020159334387028667,-0.0038146021328957507
1981-01-26,-0.0029946970931672427,0.008861050537317535,0.0007136877067293046
1981-01-27,0.009858277999067909,-0.0013227023772688115,-0.009586767791751829
1981-01-28,-0.005948740149050114,-0.001875207746721133,-0.003115739330323719
1981-01-29,-0.0007671539629888758,-0.0013161226294043107,-0.014766144827682015
1981-01-30,-0.005297930069900536,0.0070466444969627265,0.006965005780672939
1981-02-02,-0.020378227151362616,-0.008929842294527939,-0.0137776533183982
1981-02-03,0.01221340325451892,-0.006264030182988746,0.017888579703560614
1981-02-04,0.0010119073425940428,0.007003639155256068,-0.010000557911180595
1981-02-05,0.008087787343807662,-0.0046158609693058095,0.008622268558305946
1981-02-06,0.007482844898293539,-0.007330666960120897,0.022363146205528702
1981-02-09,-0.010183780772571429,-0.005480428634391464,-0.010561263526068343
1981-02-10,-0.00023206295587063774,-0.00290847984019246,-0.002388875847498584
1981-02-11,-0.007737542227610693,-0.0077642314791569935,0.00040140630623142215
1981-02-13,-0.009825343748114834,-0.01161525515777954,0.003175446940659743
1981-02-17,0.0065364165988175404,0.01889676639322016,0.0008506128595930918
1981-02-18,0.0052421420995500964,0.0019984691777130553,-0.0037896731406916744
1981-02-19,-0.014554757000094454,0.011892575782647154,0.013426197868591228
1981-02-20,-0.00023693846577887973,0.010867913506174295,-0.011578482514973398
1981-02-23,0.006083082887722746,-0.01479669965158618,-0.0039233207209975465
1981-02-24,0.00031410220656957755,-0.0007313499778781773,-0.0005466625550166748
1981-02-25,0.008870436362560463,-0.003995171112549292,-0.01107947772183493
1981-02-26,0.0122938202499987,-0.009370079356965657,-0.007105072823450964
1981-02-27,0.008993067748316541,0.0025355998741668395,-0.009498371707707176
1981-03-02,0.005637161653770485,-0.00911082853644761,-0.026086204161679727
1981-03-03,-0.010983993701833672,0.010664304881744208,0.012511475021469431
1981-03-04,0.00229781753498548,-0.0007144822437004048,-0.021160229881695747
1981-03-05,-0.007106892329455937,0.0014517725398229234,0.003182144137683807
1981-03-06,-0.0006156128436427544,0.012939192996968446,0.0097246422135846
1981-03-09,0.009780430912413207,0.007123508384517826,0.0011356597150526948
1981-03-10,-0.00503346879116684,0.0009078093386068656,-0.010253539386260724
1981-03-11,-0.0039093188669198095,-0.0018348811707689695,-0.01610526472470719
1981-03-12,0.02493270926704616,0.005311877967814551,0.015204005990832046
1981-03-13,-0.0006006594307998991,0.009775018483644636,-0.006616397937591168
1981-03-16,0.011794696553457884,0.0016112089630364664,-0.006075425279769564
1981-03-17,-0.005642965163099589,0.009837997512249726,0.019771495841948598
1981-03-18,0.002240166187721604,0.005949749127568048,-0.00938327881954193
1981-03-19,-0.005662304425003262,-0.004679321242725118,8.964188068660839e-05
1981-03-20,0.004645549872605237,-0.005212813887350668,-0.005482603564439192
1981-03-23,0.01200776095140732,-0.018681730172427226,0.017064231208315794
1981-03-24,-0.00751716599681984,-0.00889543492941563,0.01609854079281625
1981-03-25,0.018118381782000537,0.0052816228456565,-0.005363528009535211
1981-03-26,-0.0061264410630248465,-0.006704401420398823,0.007292229902526649
1981-03-27,-0.01188823897544966,-0.0007207899422213457,-0.004134749303621232
1981-03-30,-0.002747828696315735,0.008744097944992488,-0.006031204929854428
1981-03-31,0.012809064911670998,0.005295021584202975,0.014671180876167034
1981-04-01,0.004191230325137907,-0.00018814917278269888,-0.00596562184024263
1981-04-02,-0.0018305629830310808,-0.005640466578067742,0.00029062586279549047
1981-04-03,-0.0060886281283761825,-0.007771180699856591,-0.005854409692461871
1981-04-06,-0.011513858986901604,-0.01709186762490076,0.007554724259870805
1981-04-07,-0.00014924971824847866,0.018264622477631914,0.006381343272758855
1981-04-08,0.002987035214289557,-0.010389095244516077,0.0005620325402428961
1981-04-09,0.002680370909801555,0.009032296305768954,0.0014402995823130649
1981-04-10,-0.001188116613090373,-0.0071669572292292795,-0.007147993671796193
1981-04-13,-0.010110777383776082,-0.0037101840464601158,-0.005200411397447646
1981-04-14,-0.00352986287831547,0.005759370159688133,-0.0019803710283368137
1981-04-15,0.011230069154473554,-0.008189468729203864,-0.0069304619335259785
1981-04-16,0.003950203372810046,-0.0022938175754092785,0.006405829892893289
1981-04-20,0.005567928856659021,0.0068726572279488715,0.004540212265872422
1981-04-21,-0.009007022873314008,-0.0017661491402541168,0.01203313471879075
1981-04-22,-0.0006704636873661185,-0.002295134312402409,-0.006591228926735471
1981-04-23,-0.001490956829821033,-0.0006901512738230334,0.0009395914945287133
1981-04-24,0.00895921253075338,-0.003879357034926361,-0.0011697764427243131
1981-04-27,0.002515882339989561,-0.0009845840813127026,0.0042074519613086725
1981-04-28,-0.008488292978670486,-0.0001497748499461981,-0.011014484406945524
1981-04-29,-0.009528763208882518,-0.0059624325077599774,-0.003683268063299772
1981-04-30,-0.001803874390522875,-0.0027797319514089613,-0.0022064410544158086
1981-05-01,-0.0006776322531812927,0.003558613514153961,0.0013180054184667167
1981-05-04,-0.0154460746903462,-0.02069201227596191,-0.02094332723948822
1981-05-05,-0.0026784330728623074,-0.010950923833975936,-0.004137848617480565
1981-05-06,0.003529707099645396,0.007141225942767821,0.0044550445504456535
1981-05-07,0.0068053173111768395,0.01242733159173798,0.0032704627928856755
1981-05-08,-7.590572624682769e-05,0.005642592922603556,0.007740168497514022
1981-05-11,-0.0148108529090325,-0.004580918226763527,-0.013382174824968174
1981-05-12,0.007786558126266384,-0.005851469832215543,-0.017381280316186576
1981-05-13,-0.001300475576482718,-0.0011631220274946493,0.0009903252837661911
1981-05-14,0.005591694450207241,0.0135168882213349,0.003515981735159768
1981-05-15,0.0067793982169719325,0.00937060502881255,-0.010541323504876243
1981-05-18,0.002799388078333465,0.015570192881540794,0.011236127291679443
1981-05-19,-0.003395178595420045,-0.0075828905413846065,-0.0001515863511649673
1981-05-20,-0.0006813259170694862,-0.002266311780557216,0.0072772479873859375
1981-05-21,-0.001893939393939448,-0.0022598034992378896,-0.005569018197143172
1981-05-22,-0.003187841889528032,0.012653736127982316,0.0067051113230107715
1981-05-26,0.01096476373508848,0.00956295376438487,0.011065672359874991
1981-05-27,0.007531821705359487,-0.001768372118800294,0.007777182964549213
1981-05-28,-0.002392220333393702,0.008458818939643299,0.004057782827463052
1981-05-29,-0.006444365904969661,0.003612413291294454,0.00894982805749045
1981-06-01,-0.0013575132419685332,0.003273592779944287,-0.0069186512271502965
1981-06-02,-0.01351868057861938,-0.006092723643680554,-0.0011000293341155711
1981-06-03,0.0006891103969106638,0.0019893297792568424,-0.0196461346450334
1981-06-04,0.001912630916983016,0.002530988606826839,0.00402893645064184
1981-06-05,0.009621215960907035,-0.0023242638474610085,0.010859836505758171
1981-06-08,0.00015129535831381882,0.011977214490706607,0.00572575408771625
1981-06-09,-0.0020417745103231692,-0.00017689333609199615,-0.0038150017607700977
1981-06-10,0.0026521641303183237,0.0036315402614462687,0.009191068167088812
1981-06-11,0.010807078269557513,-0.00017933432828105096,-0.010289567400315171
1981-06-12,-0.0019438841632593016,-0.0012651148686996618,0.0030968426951378802
1981-06-15,0.0008989071259992709,0.015370260166643546,0.0004704429514412745
1981-06-16,-0.010927375998784905,0.0009078093386068656,-0.007905602985908033
1981-06-17,0.008853677501119428,-0.00783056648482178,0.0009479374953713648
1981-06-18,-0.012601318948961104,-0.017952273477056892,0.007546723094452369
1981-06-19,0.004785816512713037,0.006322791103751011,-0.0050522110766789705
1981-06-22,-0.002419349163696793,0.0021891546588822613,-0.0075725145767214785
1981-06-23,0.010610149205403818,-0.006098342822947383,-0.0012345311756306598
1981-06-24,-0.005174371277273271,-0.004996216109661071,-0.007535480796437843
1981-06-25,0.0011306640460104767,-0.001769484373034921,-0.0064823012169319405
1981-06-26,-0.001882388408972813,0.00091148490087699,-0.01137273262750893
1981-06-29,-0.005054301307218735,0.0016615577403219536,-0.011961868679153055
1981-06-30,-0.005155756152309343,-0.009211912963091269,-0.0059064553536916095
